task,dim,budget,seed,variant,final_best,auc_best,regret,runtime_s,n_leaves,global_coherence,potential_std,coherence_std,potential_scale
Rastrigin,2,200,1,potential,2.589948687484579,5.359633138961779,2.589948687484579,0.13693297600002552,23.0,0.462189877310971,0.24205287614932627,0.11703702701911362,0.0
Rastrigin,2,200,1,both,2.824376929404906,5.580133861955502,2.824376929404906,0.1367238750008255,21.0,0.5827686327184801,0.22353659042398288,0.1295573512605609,0.2756195469525388
Rastrigin,2,200,2,none,2.7457660821546668,5.143062315193953,2.7457660821546668,0.09692479799923603,19.0,,,,
Rastrigin,2,200,2,coherence,3.9799762506808776,5.284982098540306,3.9799762506808776,0.14300882199859188,23.0,0.5,0.22483800924743066,0.13480470918410722,0.0
Rastrigin,2,200,2,potential,0.07851070518804448,4.0592633692693925,0.07851070518804448,0.16946278700015682,22.0,0.7283567305230099,0.212720029286354,0.13973336158976174,0.7604279126416229
Rastrigin,2,200,2,both,3.9799762506808776,5.284982098540306,3.9799762506808776,0.1939609119999659,23.0,0.5,0.22483800924743066,0.13480470918410722,0.0
Rastrigin,2,200,3,none,2.0374277320731835,3.7514226052427317,2.0374277320731835,0.09383557299952372,22.0,,,,
Rastrigin,2,200,3,coherence,2.1576775084140998,3.799801837353399,2.1576775084140998,0.14116264599942951,24.0,0.6428327207799067,0.2879108730815851,0.17123028901982923,0.4756329601970894
Rastrigin,2,200,3,potential,2.1621591447818815,3.8009002105912235,2.1621591447818815,0.15013758699933533,20.0,0.7438527448424693,0.26414642498191004,0.1418205515016217,0.8120296403254229
Rastrigin,2,200,3,both,1.5719631163419976,3.7349019769161065,1.5719631163419976,0.13340295499983768,19.0,0.6804828716567564,0.24629112470061787,0.13221559540641337,0.6010079626169987
Rastrigin,2,200,4,none,0.001064395387366801,0.7792001376892128,0.001064395387366801,0.0973369109997293,24.0,,,,
Rastrigin,2,200,4,coherence,0.001163887431061994,0.7851554967398623,0.001163887431061994,0.14844586199978949,24.0,0.6089313312271645,0.22085627544258996,0.16058710807802676,0.3627413329864577
Rastrigin,2,200,4,potential,0.001095949070961666,0.7792177318185515,0.001095949070961666,0.14164647400139074,21.0,0.6129470529372834,0.22414640712543749,0.1176054834795627,0.3761136862811536
Rastrigin,2,200,4,both,0.001166484295701764,0.7851210959279278,0.001166484295701764,0.14834532600070816,26.0,0.5,0.21141323023391592,0.13985079520571336,0.0
Rastrigin,2,200,5,none,1.0538073652091242,2.22414447939523,1.0538073652091242,0.09460380500058818,23.0,,,,
Rastrigin,2,200,5,coherence,1.053799635879077,2.2240377803761797,1.053799635879077,0.1556036279998807,22.0,0.6607431256143761,0.26575732498836185,0.11025114404502044,0.5352746082958724
Rastrigin,2,200,5,potential,1.0538073652091242,2.22414447939523,1.0538073652091242,0.16700437699910253,23.0,0.5545812057708301,0.235803668485311,0.1478029473868641,0.1817554152168644
Rastrigin,2,200,5,both,1.053799635879077,2.2240377803761797,1.053799635879077,0.1476280940005381,22.0,0.6607431256143761,0.26575732498836185,0.11025114404502044,0.5352746082958724
Rastrigin,2,200,6,none,0.6746501712406712,5.8859318305709065,0.6746501712406712,0.09898618999977771,21.0,,,,
Rastrigin,2,200,6,coherence,2.077152607082681,6.024500487181857,2.077152607082681,0.14828888699958043,22.0,0.4975785053216058,0.2080949327821961,0.13494089317045163,0.0
Rastrigin,2,200,6,potential,2.3851007654681027,6.402370655587103,2.3851007654681027,0.1378654540003481,20.0,0.5561435048231356,0.2200637864234506,0.1367373626654982,0.18695787106104145
Rastrigin,2,200,6,both,2.073674815610744,6.027214675206543,2.073674815610744,0.14944283799923141,24.0,0.5649061587743227,0.2160432739086288,0.11350613040460732,0.21613750871849463
Rastrigin,2,200,7,none,2.1477142212776137,4.6751206230550135,2.1477142212776137,0.09288642799947411,23.0,,,,
Rastrigin,2,200,7,coherence,3.2066094462094057,5.379992258460561,3.2066094462094057,0.1296041139994486,21.0,0.5308530120930995,0.24897969515825275,0.16202420463406347,0.10274053027002147
Rastrigin,2,200,7,potential,5.08539979062788,6.291205575503523,5.08539979062788,0.16785299599905557,23.0,0.5809067535261087,0.24389367469976506,0.1538975604709633,0.2694194892419418
Rastrigin,2,200,7,both,3.2066094462094057,5.379992258460561,3.2066094462094057,0.12803649899979064,21.0,0.5308530120930995,0.24897969515825275,0.16202420463406347,0.10274053027002147
Rastrigin,2,200,8,none,2.568816628900251,5.78676645656258,2.568816628900251,0.09173897300024692,25.0,,,,
Rastrigin,2,200,8,coherence,2.280452907329142,5.547239299789712,2.280452907329142,0.14226256899928558,24.0,0.6381135341708465,0.23902297429625666,0.15135116774805804,0.45991806878891883
