FIT_QUALITY | Depth=2 | N_pts=18 | R2=0.3304 | NoiseVar=1.67e-04
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.5911 | NoiseVar=1.32e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2735 | NoiseVar=2.13e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.5174 | NoiseVar=5.02e-06
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3028 | NoiseVar=3.28e-05
FIT_QUALITY | Depth=2 | N_pts=18 | R2=0.4772 | NoiseVar=9.48e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3040 | NoiseVar=2.14e-03
FIT_QUALITY | Depth=3 | N_pts=18 | R2=0.3413 | NoiseVar=2.15e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3129 | NoiseVar=3.19e-05
FIT_QUALITY | Depth=2 | N_pts=18 | R2=0.4772 | NoiseVar=9.48e-04
FIT_QUALITY | Depth=2 | N_pts=18 | R2=0.3304 | NoiseVar=1.67e-04
FIT_QUALITY | Depth=3 | N_pts=18 | R2=0.3413 | NoiseVar=2.15e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3040 | NoiseVar=2.14e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3129 | NoiseVar=3.19e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3203 | NoiseVar=3.15e-05
FIT_QUALITY | Depth=2 | N_pts=19 | R2=0.4444 | NoiseVar=9.49e-04
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.3033 | NoiseVar=3.26e-05
FIT_QUALITY | Depth=3 | N_pts=19 | R2=0.3759 | NoiseVar=2.02e-05
FIT_QUALITY | Depth=2 | N_pts=19 | R2=0.3094 | NoiseVar=1.66e-04
FIT_QUALITY | Depth=2 | N_pts=19 | R2=0.4444 | NoiseVar=9.49e-04
FIT_QUALITY | Depth=2 | N_pts=19 | R2=0.3094 | NoiseVar=1.66e-04
FIT_QUALITY | Depth=3 | N_pts=19 | R2=0.3759 | NoiseVar=2.02e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3040 | NoiseVar=2.14e-03
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.3033 | NoiseVar=3.26e-05
FIT_QUALITY | Depth=2 | N_pts=20 | R2=0.4310 | NoiseVar=9.41e-04
FIT_QUALITY | Depth=3 | N_pts=20 | R2=0.2660 | NoiseVar=2.35e-05
FIT_QUALITY | Depth=3 | N_pts=21 | R2=0.2828 | NoiseVar=2.24e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4141 | NoiseVar=1.15e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4676 | NoiseVar=1.75e-05
FIT_QUALITY | Depth=2 | N_pts=21 | R2=0.4209 | NoiseVar=9.18e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3647 | NoiseVar=4.91e-06
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.8204 | NoiseVar=4.39e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.4044 | NoiseVar=4.84e-06
FIT_QUALITY | Depth=2 | N_pts=19 | R2=0.3094 | NoiseVar=1.66e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3040 | NoiseVar=2.14e-03
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.3033 | NoiseVar=3.26e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4141 | NoiseVar=1.15e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4676 | NoiseVar=1.75e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.4044 | NoiseVar=4.84e-06
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.8204 | NoiseVar=4.39e-04
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.2262 | NoiseVar=3.12e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.7656 | NoiseVar=5.72e-04
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4898 | NoiseVar=1.27e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.2118 | NoiseVar=3.10e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.7217 | NoiseVar=7.01e-04
FIT_QUALITY | Depth=2 | N_pts=19 | R2=0.3094 | NoiseVar=1.66e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3040 | NoiseVar=2.14e-03
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.3033 | NoiseVar=3.26e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4898 | NoiseVar=1.27e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.2118 | NoiseVar=3.10e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.4044 | NoiseVar=4.84e-06
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.7217 | NoiseVar=7.01e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3488 | NoiseVar=5.21e-06
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.1613 | NoiseVar=5.38e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.6012 | NoiseVar=1.03e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.5602 | NoiseVar=1.12e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.5289 | NoiseVar=1.23e-03
FIT_QUALITY | Depth=2 | N_pts=19 | R2=0.3094 | NoiseVar=1.66e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3040 | NoiseVar=2.14e-03
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.3033 | NoiseVar=3.26e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4898 | NoiseVar=1.27e-05
