QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=6.78e+01 | CoeffNorm=0.08 | NoiseVar=5.79e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=6.78e+01 | CoeffNorm=0.08 | NoiseVar=5.79e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=8.78e+01 | CoeffNorm=0.20 | NoiseVar=2.00e-04 | Y_range=1.23e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=8.78e+01 | CoeffNorm=0.20 | NoiseVar=2.00e-04 | Y_range=1.23e-01
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=6.78e+01 | CoeffNorm=0.08 | NoiseVar=5.79e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=7.06e+01 | CoeffNorm=0.24 | NoiseVar=3.97e-04 | Y_range=1.76e-01
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=9.30e+01 | CoeffNorm=0.20 | NoiseVar=1.96e-04 | Y_range=1.23e-01
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=9.81e+01 | CoeffNorm=0.20 | NoiseVar=1.95e-04 | Y_range=1.23e-01
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=9.81e+01 | CoeffNorm=0.20 | NoiseVar=1.95e-04 | Y_range=1.23e-01
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=6.78e+01 | CoeffNorm=0.08 | NoiseVar=5.79e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=7.06e+01 | CoeffNorm=0.24 | NoiseVar=3.97e-04 | Y_range=1.76e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=1.04e+02 | CoeffNorm=0.20 | NoiseVar=1.98e-04 | Y_range=1.23e-01
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=9.03e+01 | CoeffNorm=0.22 | NoiseVar=2.77e-04 | Y_range=1.23e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=4.22e+01 | CoeffNorm=0.12 | NoiseVar=1.64e-04 | Y_range=1.17e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=4.22e+01 | CoeffNorm=0.12 | NoiseVar=1.64e-04 | Y_range=1.17e-01
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=4.38e+01 | CoeffNorm=0.12 | NoiseVar=1.59e-04 | Y_range=1.17e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.46e+01 | CoeffNorm=0.24 | NoiseVar=5.39e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=3.73e+01 | CoeffNorm=0.25 | NoiseVar=5.24e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=4.38e+01 | CoeffNorm=0.12 | NoiseVar=1.59e-04 | Y_range=1.17e-01
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=3.73e+01 | CoeffNorm=0.25 | NoiseVar=5.24e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=4.58e+01 | CoeffNorm=0.12 | NoiseVar=1.54e-04 | Y_range=1.17e-01
